driver_id,total_deliveries,failure_rate,late_rate,incidents_per_100,complaints_per_100,mean_override_intensity,mean_rating_received,base_zone,employment_type,years_experience,training_score,driver_rating,active_flag,training_score_missing
D001,6,0.16666666666666666,0.3333333333333333,33.33333333333333,16.666666666666664,0.06064580197667879,4.096666666666667,Airport,FullTime,8,67.8,3.54,1,0
D002,7,0.14285714285714285,0.42857142857142855,57.14285714285714,0.0,0.10883005537195732,3.21,Central,FullTime,4,42.4,3.94,1,0
D003,4,0.0,0.5,50.0,0.0,0.10841150709897483,4.445,Airport,FullTime,11,96.5,5.0,1,0
D004,9,0.3333333333333333,0.5555555555555556,55.55555555555556,22.22222222222222,0.1577054398898478,3.51,Airport,PartTime,13,88.9,4.75,1,0
D005,5,0.4,0.75,40.0,20.0,0.10505771394373724,3.53,North,FullTime,3,69.7,4.14,1,0
D006,6,0.16666666666666666,0.5,33.33333333333333,33.33333333333333,0.03262113713929803,3.8066666666666666,Central,FullTime,8,78.8,4.38,1,0
D007,2,0.0,0.5,50.0,50.0,0.0,4.285,North,FullTime,4,92.6,3.94,1,0
D008,8,0.0,0.2857142857142857,12.5,0.0,0.31763142672352607,3.92375,South,FullTime,9,84.1,3.88,1,0
D009,5,0.0,0.4,20.0,40.0,0.08686419130593213,4.048,Airport,FullTime,15,63.4,3.8,1,0
D010,7,0.42857142857142855,0.42857142857142855,28.57142857142857,28.57142857142857,0.05208557366376964,4.145714285714286,West,FullTime,8,70.0,3.95,1,0
D011,6,0.16666666666666666,0.6666666666666666,33.33333333333333,33.33333333333333,0.04735361203134303,3.3383333333333334,East,FullTime,3,89.4,3.85,1,0
D012,2,0.0,0.5,0.0,100.0,0.0,4.38,South,FullTime,10,95.1,4.48,1,0
D013,4,0.25,0.25,0.0,25.0,0.035353820940771254,4.5175,West,FullTime,11,80.8,4.31,1,0
D014,4,0.0,0.25,50.0,25.0,0.014970059880239521,4.4275,North,FullTime,6,76.1,4.7,1,0
D015,6,0.0,0.5,16.666666666666664,16.666666666666664,0.01627319537549791,4.5216666666666665,East,FullTime,11,85.1,4.34,1,0
D016,7,0.14285714285714285,0.5714285714285714,0.0,42.857142857142854,0.09801245522908306,3.3316666666666666,Airport,FullTime,6,81.9,4.31,1,0
D017,10,0.2,0.5,30.0,30.0,0.17120674764283514,3.679,East,PartTime,1,,4.34,1,1
D018,7,0.2857142857142857,0.5,0.0,14.285714285714285,0.028502388416181523,3.9171428571428573,West,PartTime,14,73.8,4.57,1,0
D019,4,0.25,1.0,25.0,25.0,0.08180239791573105,3.7475,Riverside,FullTime,11,73.4,3.82,0,0
D020,4,0.0,0.0,25.0,0.0,0.061562104905758155,4.0975,East,FullTime,6,,4.61,1,1
D021,2,0.0,0.0,50.0,0.0,0.1711393107274114,3.105,South,FullTime,7,91.8,4.24,1,0
D022,5,0.2,0.4,40.0,0.0,0.08632582368381395,3.974,East,FullTime,9,68.7,3.36,1,0
D023,6,0.3333333333333333,0.8333333333333334,33.33333333333333,16.666666666666664,0.040569309559764115,3.901666666666667,East,FullTime,11,79.1,4.16,1,0
D024,8,0.5,0.5,0.0,50.0,0.10409544759150256,3.44375,Riverside,PartTime,8,71.4,3.35,1,0
D025,3,0.0,0.0,33.33333333333333,0.0,0.0,4.653333333333333,North,FullTime,1,86.4,3.72,1,0
